what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718180217179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180223065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180224882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180225870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180297354
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718180303893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180310568
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718180310759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180314011
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1718180314087
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1718180316953
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1718180317072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180318955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180322364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180326444
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718180424801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180424823
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1718180424831
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1718180426372
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.cPerspective",1718180429888
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718180429889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180446950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180881576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180886465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180887798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718180889238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182858033
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1718182859487
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1718182860997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182869661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182886135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182889191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182891107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182894569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182896414
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1718182896427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182898382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182900076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182906942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718182910366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183221977
error,log,,,"Unable to validate connection settings.",1718183226992
error,log,,,"Unable to validate connection settings.",1718183226994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183239172
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718183240458
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1718183248347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183252473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183260968
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718183263002
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718183263333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183270245
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718183270344
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1718183270393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183272621
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1718183272787
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1718183277387
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1718183277539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183282454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183290575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183299608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183367104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183370650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183388674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183393311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183447726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718183583306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718185367865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718185370440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718186142394
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718186143638
closed,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1718186143866
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718186143927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718186153157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718186353315
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.cPerspective",1718186357312
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718186357316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1718186364492
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718186364728
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1718186395176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1718186414671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718186445386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718186454188
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718186463371
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718186463689
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718186474484
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718186474822
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718186504602
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718186504602
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1718186504621
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718186524471
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718186524968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718186531811
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718186531899
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1718186531936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718186534719
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1718186534830
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1718186542670
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1718186542841
