what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718194987355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195043889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195127532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195346317
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1718195355065
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718195355219
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718195357537
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718195366905
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.hippieCompletion",1718195368553
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1718195371695
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1718195381924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1718195384922
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718195397271
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718195397672
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718195402673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195406924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195452677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195460445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195547943
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718195556100
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718195556190
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718195557895
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1718195560515
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1718195566446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1718195568066
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1718195578552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195578884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195627800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1718195632247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195638412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195643708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195645905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195716394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195720009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195839162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195840475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195844861
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718195865918
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718195866166
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718195871308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718195873226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196041572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196042496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196056335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196057435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196065418
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718196068865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196071633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196144462
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718196147068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196149951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196208504
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718196208519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196211928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196221329
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718196224917
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718196225148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196225219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196228407
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718196230098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196231140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196392568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196395243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196574825
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718196578925
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718196584023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196586392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196725180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196726903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196741219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718196742071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197045124
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718197049031
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718197054129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197058306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197059007
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718197059501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197060982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197284008
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718197285509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197286198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197448766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718197448783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197451265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197517297
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718197523303
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718197523693
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718197528880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718197535958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718198154257
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718198157299
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718198162399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718198164981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718198279881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718198281495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718198721355
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718198724619
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718198729753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718198731174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199069596
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1718199071333
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718199075385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199081010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199153678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199154812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199256400
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1718199258383
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718199258994
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718199262146
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718199267285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199270363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199284083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199287526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199344455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718199345423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718201458258
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718201458620
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1718201458941
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1718201459051
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1718201459051
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1718201459052
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1718201459052
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1718201459052
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1718201459052
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1718201459053
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1718201459053
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1718201459053
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1718201459053
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1718201459053
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1718201459054
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1718201459054
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1718201459054
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1718201459055
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1718201459055
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1718201459055
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1718201459056
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1718201459056
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1718201459056
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1718201459056
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1718201459056
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1718201459056
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1718201459056
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1718201459057
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1718201459057
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1718201459058
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1718201459058
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1718201459058
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1718201459058
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1718201459058
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1718201459058
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1718201459058
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1718201459058
stopped,bundle,com.altera.sbtgui.flash.plugin,13.1.0.162,"com.altera.sbtgui.flash.plugin",1718201459058
stopped,bundle,com.altera.sbtgui.gprof,13.1.0.162,"com.altera.sbtgui.gprof",1718201459059
stopped,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1718201459059
stopped,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1718201459059
stopped,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1718201459059
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1718201459059
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1718201459059
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1718201459059
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1718201459060
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1718201459060
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1718201459061
