what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1718278977366
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1718278977366
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1718278977366
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1718278977366
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1718278977367
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1718278977367
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1718278977367
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1718278977367
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1718278977368
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1718278977368
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1718278977368
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1718278977369
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1718278977370
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1718278977371
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1718278977371
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1718278977372
os,sysinfo,,,"win32",1718278977373
arch,sysinfo,,,"x86",1718278977373
ws,sysinfo,,,"win32",1718278977373
locale,sysinfo,,,"en_US",1718278977373
processors,sysinfo,,,"16",1718278977373
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1718278977373
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1718278977373
java.specification.name,sysinfo,,,"Java Platform API Specification",1718278977373
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1718278977373
java.specification.version,sysinfo,,,"1.6",1718278977373
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1718278977373
java.version,sysinfo,,,"1.6.0_23",1718278977373
java.vm.info,sysinfo,,,"mixed mode",1718278977373
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1718278977373
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1718278977373
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1718278977373
java.vm.specification.version,sysinfo,,,"1.0",1718278977373
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1718278977373
java.vm.version,sysinfo,,,"19.0-b09",1718278977373
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1718278989742
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1718278989792
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1718278989792
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1718278989795
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1718278989891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718278991066
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718278993223
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1718278993435
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1718278993440
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1718278993441
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1718278993442
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1718278993450
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1718279077878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718279077896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718279078503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718283115518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718283116611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718283146166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718283146296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718283147296
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1718283147447
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1718283147681
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1718283147924
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1718283147983
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1718283147983
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1718283147984
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1718283147984
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1718283147984
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1718283147984
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1718283147984
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1718283147984
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1718283147984
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1718283147985
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1718283147985
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1718283147985
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1718283147985
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1718283147985
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1718283147985
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1718283147986
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1718283147986
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1718283147986
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1718283147986
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1718283147986
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1718283147986
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1718283147987
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1718283147987
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1718283147987
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1718283147987
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1718283147987
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1718283147988
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1718283147988
